title,brand,price,rating,total reviews,stock,link
Wilson Ultra Team v3 Tennis Racquet,Wilson,125.0,,2,,https://amazon.ca/Wilson-Sporting-Goods-Ultra-Racket/dp/B085TMZ8GK/ref=sr_1_76?keywords=tennis+racket&qid=1687976067&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-76
Babolat Pure Strike 16/19 Tennis Racquet (3rd Gen) - Strung with 16g White Babolat Syn Gut at Mid-Range Tension,Babolat,289.99,4.,180,,https://amazon.ca/Babolat-Strike-16x19-Tennis-Racquet/dp/B07WH4CKDF/ref=sr_1_77?keywords=tennis+racket&qid=1687976067&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-77
"WILSON Minions 103 Adult Recreational Tennis Racket - Grip Size 3-4 3/8"", Yellow/Black",Wilson,136.35,,7,In Stock,https://amazon.ca/Wilson-Sporting-Goods-Minions-Yellow/dp/B08SMNRBSF/ref=sr_1_78?keywords=tennis+racket&qid=1687976067&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-78
Yonex EZONE Game Tennis Racquet (Blue) Prestrung,Yonex,169.95,4.6,3,Only 8 left in stock.,https://amazon.ca/Yonex-EZONE-Tennis-Racquet-Prestrung/dp/B09HF69F92/ref=sr_1_79?keywords=tennis+racket&qid=1687976067&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-79
Wilson WRT31090U2 Triumph Tennis Rackets,Wilson,0,4.6,119,,https://amazon.ca/Wilson-WRT31090U2-Triumph-Tennis-Rackets/dp/B06XTZ1ZPL/ref=sr_1_80?keywords=tennis+racket&qid=1687976067&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-80
"Wilson Unisex-Youth Roger Federer Tennis Racket, Black/Red, 25",Wilson,44.95,4.,32,In Stock,https://amazon.ca/Wilson-Federer-Junior-Tennis-Racquet/dp/B082XKWV38/ref=sr_1_81?keywords=tennis+racket&qid=1687976067&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-81
Babolat Nadal Rafa Junior Tennis Racquets,Babolat,49.23,4.6,68,,https://amazon.ca/Babolat-Nadal-Junior-Tennis-Racquet/dp/B09B16KL9V/ref=sr_1_82?keywords=tennis+racket&qid=1687976067&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-82
Wilson Unisex-Adult PRO Staff Precision Team 100 Tennis Racket Black/White Grip 2,Wilson,64.95,4.4,37,,https://amazon.ca/Wilson-Unisex-Adult-Precision-Tennis-Racket/dp/B07Z4T1JHX/ref=sr_1_83?keywords=tennis+racket&qid=1687976067&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-83
Wilson Federer 23 Junior Recreational Tennis Racket,Wilson,63.45,,48,,https://amazon.ca/Wilson-Federer-Junior-Tennis-Racquet/dp/B0892P59GF/ref=sr_1_84?keywords=tennis+racket&qid=1687976067&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-84
Wilson Advantage Tennis Bag,Wilson,54.9,4.4,"2,865",In Stock,https://amazon.ca/Wilson-Advantage-III-Triple-Bag/dp/B01AYGLUHG/ref=sr_1_85?keywords=tennis+racket&qid=1687976067&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-85
HEAD Graphene XT Radical MP Tennis Racquet - Pre-Strung 27 Inch Intermediate Adult Racket - 4 1/2 Grip,Head,203.4,,34,,https://amazon.ca/HEAD-0726424221851-Graphene-XT-RADICA/dp/B01B8DB6A0/ref=sr_1_86?keywords=tennis+racket&qid=1687976067&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-86
"Wilson Roland Garros Elite 21 Racket, for Children Aged 5-6, Blue, WR069910H",Wilson,44.95,,8,In Stock,https://amazon.ca/Wilson-Roland-Garros-Children-WR069910H/dp/B08SWLBMSN/ref=sr_1_87?keywords=tennis+racket&qid=1687976067&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-87
Wilson Minions 2.0 Junior 23 Recreational Tennis Racket - Yellow/Blue,Wilson,44.95,,6,In Stock,https://amazon.ca/Wilson-Minions-Junior-Recreational-Tennis/dp/B09WRXCDBR/ref=sr_1_88?keywords=tennis+racket&qid=1687976067&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-88
Wilson Pro Staff 97 V13.0 Tennis Racquet,Wilson,249.99,4.7,114,,https://amazon.ca/Wilson-Staff-V13-0-Tennis-Racquet/dp/B08GYSZ94Q/ref=sr_1_89?keywords=tennis+racket&qid=1687976067&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-89
Wilson Unisex-Adult PRO Staff Precision Team 100 Tennis Racket Black/White Grip 3,Wilson,64.95,,79,In Stock,https://amazon.ca/Wilson-Unisex-Adult-Precision-Tennis-Racket/dp/B07Z4SY9QM/ref=sr_1_90?keywords=tennis+racket&qid=1687976067&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-90
YONEX EZONE ACE Deep Blue Tennis Racquet - Great Racquet for Comfort and Control,Yonex,119.95,,,In Stock,https://amazon.ca/EZONE-Deep-Blue-Tennis-Racquet/dp/B08SKQ5MM9/ref=sr_1_91?keywords=tennis+racket&qid=1687976067&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-91
Babolat Pure Drive Team Tennis Racquet (10th Gen) - Strung with 16g White Babolat Syn Gut at Mid-Range Tension,Babolat,299.99,,8,,https://amazon.ca/Babolat-Pure-Drive-Team-2021/dp/B08S6Q87GS/ref=sr_1_92?keywords=tennis+racket&qid=1687976067&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-92
Head Graphene 360+ Gravity MP Tennis Racquet (2021),Head,179.0,4.4,34,,https://amazon.ca/Head-Gravity-MP-295g-2021/dp/B08MN2DHLK/ref=sr_1_93?keywords=tennis+racket&qid=1687976067&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-93
"WILSON Minions 103 Adult Recreational Tennis Racket - Grip Size 2-4 1/4"", Yellow/Black",Wilson,165.34,,12,,https://amazon.ca/Wilson-Sporting-Goods-Minions-Yellow/dp/B08SMM5R9K/ref=sr_1_94?keywords=tennis+racket&qid=1687976067&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-94
Head Graphene 360+ Speed PWR Tennis Racquet,Head,179.95,,13,,https://amazon.ca/Head-Graphene-Speed-Tennis-Racquet/dp/B084WP6GRS/ref=sr_1_95?keywords=tennis+racket&qid=1687976067&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-95
HEAD 2022 IG Speed 23 Inch Tennis Racquet,Head,59.95,,9,In Stock,https://amazon.ca/HEAD-2022-Speed-Tennis-Racquet/dp/B09T71MTQ3/ref=sr_1_96?keywords=tennis+racket&qid=1687976067&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-96
HEAD Ti. Reward Tennis Racket - Pre-Strung Light Balance 27 Inch Racquet,Head,74.18,4.,352,In Stock,https://amazon.ca/HEAD-Ti-Reward-Tennis-Racquet-Strung/dp/B01N353ZKC/ref=sr_1_97?keywords=tennis+racket&qid=1687976068&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-97
"HEAD Coco Junior Tennis Racket, Pink, 17""",Head,52.71,,6,,https://amazon.ca/HEAD-Coco-Tennis-Racket-Pink/dp/B09SCYCR3J/ref=sr_1_98?keywords=tennis+racket&qid=1687976068&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-98
HEAD Speed MP 2022 Tennis Racquet,Head,229.0,4.7,21,,https://amazon.ca/HEAD-Performance-Tennis-Racquet-Tension/dp/B09T5SPX8W/ref=sr_1_99?keywords=tennis+racket&qid=1687976068&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-99
Wilson Clash 100 Pro Tennis Racquet,Wilson,229.95,4.,53,In Stock,https://amazon.ca/Wilson-Clash-Tour-Tennis-Racquet/dp/B07NBK4T59/ref=sr_1_100?keywords=tennis+racket&qid=1687976068&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-100
"HEAD Racket Protection Tape - Tennis Racquet Head Guard - 16' Roll, Black",Head,17.06,4.7,837,In Stock,https://amazon.ca/HEAD-Protection-Tape-Head/dp/B001MQZUGK/ref=sr_1_101?keywords=tennis+racket&qid=1687976068&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-101
Wilson Unisex-Youth Roger Federer Tennis Racket Black/Red 19,Wilson,32.95,,6,In Stock,https://amazon.ca/Wilson-Federer-Junior-Tennis-Racquet/dp/B082XK84WW/ref=sr_1_102?keywords=tennis+racket&qid=1687976068&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-102
Head Graphene 360+ Gravity Pro Tennis Racquet (2021),Head,189.0,4.7,19,,https://amazon.ca/HEAD-Gravity-Pro-Tennis-Racquet/dp/B08MMQQX9X/ref=sr_1_103?keywords=tennis+racket&qid=1687976068&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-103
"Wilson XP 1 Adult Recreational Tennis Racket - Grip Size 3 - 4 3/8"", Black",Wilson,195.67,,2,In Stock,https://amazon.ca/Wilson-Sporting-Goods-WR056210U3-Xp1/dp/B08SMNJ297/ref=sr_1_104?keywords=tennis+racket&qid=1687976068&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-104
Babolat Pure Strike 16/19 Tennis Racquet (3rd Gen) - Strung with 16g White Babolat Syn Gut at Mid-Range Tension,Babolat,289.99,4.,180,,https://amazon.ca/Babolat-Strike-16x19-Tennis-Racquet/dp/B07WH4CKDF/ref=sr_1_105?keywords=tennis+racket&qid=1687976068&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-105
"HEAD Graphene Laser Oversize Pre-Strung Tennis Racquet with Large Sweetspot and Power, Black/Blue",Head,169.59,4.7,5,In Stock,https://amazon.ca/HEAD-Graphene-Laser-Tennis-Racquet/dp/B07Z9NDK3X/ref=sr_1_106?keywords=tennis+racket&qid=1687976068&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-106
WILSON Tennis Racket Dampeners,Wilson,16.06,4.6,934,,https://amazon.ca/Wilson-Sporting-Goods-Clash-Dampeners/dp/B08SMPQVCS/ref=sr_1_107?keywords=tennis+racket&qid=1687976068&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-107
Wilson Clash 100 Pro Silver Tennis Racquet,Wilson,199.95,,5,,https://amazon.ca/Wilson-Clash-Silver-Tennis-Racquet/dp/B092KSTF9P/ref=sr_1_108?keywords=tennis+racket&qid=1687976068&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-108
Wilson Unisex-Adult PRO Staff Precision Team 100 Tennis Racket Black/White Grip 2,Wilson,64.95,4.4,37,,https://amazon.ca/Wilson-Unisex-Adult-Precision-Tennis-Racket/dp/B07Z4T1JHX/ref=sr_1_109?keywords=tennis+racket&qid=1687976068&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-109
HEAD-Pro Damp Tennis Dampener,Head,12.09,4.6,615,In Stock,https://amazon.ca/HEAD-285515-PK-Head-Pro-Damp/dp/B01AV0NF46/ref=sr_1_110?keywords=tennis+racket&qid=1687976068&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-110
Yonex VCORE Ace Tennis Racquet Strung,Yonex,109.95,4.6,21,In Stock,https://amazon.ca/Yonex-VCORE-Tennis-Racquet-Tango/dp/B08S25L158/ref=sr_1_111?keywords=tennis+racket&qid=1687976068&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-111
Babolat Pure Drive Team Tennis Racquet (10th Gen) - Strung with 16g White Babolat Syn Gut at Mid-Range Tension,Babolat,299.99,,8,,https://amazon.ca/Babolat-Pure-Drive-Team-2021/dp/B08S6Q87GS/ref=sr_1_112?keywords=tennis+racket&qid=1687976068&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-112
Babolat Evo Drive Lite Strung Tennis Racquet,Babolat,219.95,4.4,69,,https://amazon.ca/Babolat-Drive-Strung-Tennis-Racquet/dp/B08PCCY6V3/ref=sr_1_113?keywords=tennis+racket&qid=1687976068&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-113
Head Super Comp Overgrip,Head,9.99,4.4,"5,034",In Stock,https://amazon.ca/HEAD-Super-Overgrip-Black-3-Pack/dp/B000ULRRCI/ref=sr_1_114?keywords=tennis+racket&qid=1687976068&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-114
Yonex EZONE 100 Plus (7th Gen) Tennis Racquet,Yonex,362.4,,,,https://amazon.ca/Yonex-EZONE-Plus-Tennis-Racquet/dp/B0B92MTWNW/ref=sr_1_115?keywords=tennis+racket&qid=1687976068&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-115
Head Boom Team Tennis Racquet,Head,199.0,4.7,7,,https://amazon.ca/Head-Boom-Team-Tennis-Racquet/dp/B0B149Y2Q6/ref=sr_1_116?keywords=tennis+racket&qid=1687976068&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-116
Wilson Unisex-Youth Roger Federer Tennis Racket Black/Red 23,Wilson,44.95,4.,17,In Stock,https://amazon.ca/Wilson-Federer-Junior-Tennis-Racquet/dp/B082XKDB82/ref=sr_1_117?keywords=tennis+racket&qid=1687976068&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-117
Head Graphene 360+ Instinct PWR Tennis Racquet,Head,169.95,4.7,15,,https://amazon.ca/HEAD-Graphene-Instinct-Tennis-Racquet/dp/B08GQC982D/ref=sr_1_118?keywords=tennis+racket&qid=1687976068&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-118
Babolat Nadal Rafa Junior Tennis Racquets,Babolat,49.23,4.6,68,,https://amazon.ca/Babolat-Nadal-Junior-Tennis-Racquet/dp/B09B16KL9V/ref=sr_1_119?keywords=tennis+racket&qid=1687976068&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-119
HEAD 2022 IG Speed 23 Inch Tennis Racquet,Head,59.95,,9,In Stock,https://amazon.ca/HEAD-2022-Speed-Tennis-Racquet/dp/B09T71MTQ3/ref=sr_1_120?keywords=tennis+racket&qid=1687976068&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-120
