title,brand,price,rating,total reviews,stock,link
HEAD Metallix Attitude Pro White Tennis Racket - Pre-Strung Adult Tennis Racquet for Control and Maneuverability,Head,97.17,,42,,https://amazon.ca/HEAD-Metallix-Attitude-Tennis-Racket/dp/B08X5ZRBS3/ref=sr_1_17?keywords=tennis+racket&qid=1687976064&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-17
"WILSON Blade Team V7 Adult Performance Tennis Racket - Grip Size 3-4 3/8"", Green",Wilson,89.41,4.7,54,,https://amazon.ca/Wilson-Blade-Team-Tennis-Racquet/dp/B084RT7BLN/ref=sr_1_18?keywords=tennis+racket&qid=1687976064&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-18
"Triumph Tennis Racket 4 1/8""",Other Brand,49.95,,2,In Stock,https://amazon.ca/Wilson-Sporting-Goods-WRT30090U1-Triumph/dp/B07P7WYBM4/ref=sr_1_19?keywords=tennis+racket&qid=1687976064&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-19
Head Metallix Attitude Elite Blue Tennis Racket - Pre-Strung Adult Tennis Racquet Lightweight - Midplus Headsize for Blend of Power and Control,Head,76.15,4.7,45,In Stock,https://amazon.ca/HEAD-Metallix-Attitude-Tennis-Racket/dp/B08X6611JJ/ref=sr_1_20?keywords=tennis+racket&qid=1687976064&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-20
"HEAD Ti. Conquest Tennis Racket - Pre-Strung Head Light Balance 27 Inch Racquet - 4 3/8 in Grip, Dark Blue",Head,43.72,4.,183,In Stock,https://amazon.ca/HEAD-Ti-Conquest-Tennis-Racquet/dp/B08D6Y4MWX/ref=sr_1_21?keywords=tennis+racket&qid=1687976064&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-21
Wilson Roland Garros Triumph Tennis Racquet (Strung),Wilson,99.95,4.3,37,,https://amazon.ca/Wilson-Roland-Garros-Triumph-WR066510U4/dp/B08SWRVHBP/ref=sr_1_22?keywords=tennis+racket&qid=1687976064&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-22
WILSON Adult Performance Tennis Racket,Wilson,131.31,4.,223,,https://amazon.ca/Wilson-Sporting-Goods-Staff-Team/dp/B08SMN19C4/ref=sr_1_23?keywords=tennis+racket&qid=1687976064&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-23
Wilson Pro Staff Precision XL 110 Tennis Racquet (Pre-Strung),Wilson,60.22,4.,79,In Stock,https://amazon.ca/Wilson-Staff-Precision-Tennis-Racket/dp/B085TCDTVR/ref=sr_1_24?keywords=tennis+racket&qid=1687976064&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-24
Wilson Hyper Hammer 5.3 Strung Tennis Racket,Wilson,125.73,4.6,"1,447",,https://amazon.ca/Wilson-Hammer-Strung-Tennis-Racket/dp/B007ATJ5D2/ref=sr_1_25?keywords=tennis+racket&qid=1687976065&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-25
WILSON Adult Recreational Rackts Tennis',Wilson,0,4.,64,,https://amazon.ca/Wilson-Sporting-Goods-WRT30090U2-Triumph/dp/B07MTJYX2Z/ref=sr_1_26?keywords=tennis+racket&qid=1687976065&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-26
Wilson Pro Staff Precision XL 110 Tennis Racquet (Pre-Strung),Wilson,60.22,4.,79,In Stock,https://amazon.ca/Wilson-Staff-Precision-Tennis-Racket/dp/B085TCDTVR/ref=sr_1_27?keywords=tennis+racket&qid=1687976065&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-27
HEAD Tour Pro Pre-Strung Recreational Tennis Racquet,Head,58.74,4.6,867,,https://amazon.ca/HEAD-Pre-Strung-Recreational-Tennis-Racquet/dp/B07T247Z58/ref=sr_1_28?keywords=tennis+racket&qid=1687976065&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-28
Wilson Pro Staff 97L v13 Tennis Racquet,Wilson,249.99,4.7,70,,https://amazon.ca/Wilson-Staff-Tennis-Racquet-L1-4/dp/B08GYT4WTK/ref=sr_1_29?keywords=tennis+racket&qid=1687976065&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-29
"Wilson Roland Garros Equipe HP Tennis Racket, Blue, WR066410U2",Wilson,99.95,,2,Only 8 left in stock.,https://amazon.ca/Wilson-Roland-Garros-Equipe-WR066410U2/dp/B08SWPDG1C/ref=sr_1_30?keywords=tennis+racket&qid=1687976065&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-30
Yonex Astrel 100 Tennis Racquet,Yonex,309.0,,1,,https://amazon.ca/YONEX-2020-Astrel-100-4-Grip/dp/B08C9TPX1T/ref=sr_1_31?keywords=tennis+racket&qid=1687976065&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-31
Wilson Blade 100L V8 Tennis Racquet,Wilson,289.0,4.,27,In Stock,https://amazon.ca/Wilson-Blade-100L-Tennis-Racquet/dp/B09G9VXQBV/ref=sr_1_32?keywords=tennis+racket&qid=1687976065&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-32
"HEAD Ti. Instinct Supreme Tennis Racket - Pre-Strung Light Balance 27 Inch Racquet in Purple, 4 1/4 Grip Size",Head,52.34,4.6,62,In Stock,https://amazon.ca/HEAD-Instinct-Supreme-Tennis-Racket/dp/B09MWMJVBW/ref=sr_1_33?keywords=tennis+racket&qid=1687976065&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-33
Wilson US Open Adult Strung Tennis Racket,Wilson,71.99,,253,,https://amazon.ca/Wilson-Strung-Tennis-Racquet-8-Inch/dp/B00TQKBRO8/ref=sr_1_34?keywords=tennis+racket&qid=1687976065&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-34
Babolat Evoke 105 Strung Tennis Racquet (Black/Yellow),Babolat,109.95,4.6,65,,https://amazon.ca/Babolat-Evoke-Tennis-Racquet-Grip/dp/B08Y6KV22C/ref=sr_1_35?keywords=tennis+racket&qid=1687976065&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-35
HEAD Metallix Spark Tour Stealth Tennis Racket - Pre-Strung Adult Tennis Racquet for Control,Head,108.28,4.3,20,In Stock,https://amazon.ca/HEAD-Metallix-Stealth-Tennis-Racket/dp/B08X6RGM8S/ref=sr_1_36?keywords=tennis+racket&qid=1687976065&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-36
Wilson Serena 23 Junior Tennis Racquet,Wilson,29.95,4.,41,In Stock,https://amazon.ca/Wilson-Serena-Williams-Tennis-Racquet/dp/B0845YWP86/ref=sr_1_37?keywords=tennis+racket&qid=1687976065&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-37
"HEAD Ti. Radical Elite Tennis Racket - Pre-Strung Light Balance 27 Inch Racquet, Gray/Orange",Head,83.87,,33,In Stock,https://amazon.ca/HEAD-Radical-Elite-Tennis-Racket/dp/B09MWNR1VG/ref=sr_1_38?keywords=tennis+racket&qid=1687976065&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-38
Head Speed PRO Tennis Racquet (2022),Head,249.0,,10,,https://amazon.ca/HEAD-Performance-Tennis-Racquet-Tension/dp/B09TQ87ZMM/ref=sr_1_39?keywords=tennis+racket&qid=1687976065&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-39
