d_title,d_brand,d_price,d_rating,d_stock,d_link
HEAD Metallix Attitude Pro White Tennis Racket - Pre-Strung Adult Tennis Racquet for Control and Maneuverability,Head,$93.05,4.4 out of 5 stars,In Stock,https://amazon.ca/HEAD-Metallix-Attitude-Tennis-Racket/dp/B08X6S9WCZ/ref=sr_1_15?crid=13LKS7TIUJ9MY&keywords=tennis+racket&qid=1687978156&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sprefix=%2Caps%2C820&sr=1-15
HEAD Ti.S6 Tennis Racquet - Strung,Head,$169.95,4.6 out of 5 stars,In Stock,https://amazon.ca/HEAD-Ti-S6-Strung-Tennis-Racquet/dp/B000OQBPQ8/ref=sr_1_16?crid=13LKS7TIUJ9MY&keywords=tennis+racket&qid=1687978156&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sprefix=%2Caps%2C820&sr=1-16
HEAD Metallix Attitude Pro White Tennis Racket - Pre-Strung Adult Tennis Racquet for Control and Maneuverability,Head,$97.17,,,https://amazon.ca/HEAD-Metallix-Attitude-Tennis-Racket/dp/B08X5ZRBS3/ref=sr_1_17?crid=13LKS7TIUJ9MY&keywords=tennis+racket&qid=1687978156&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sprefix=%2Caps%2C820&sr=1-17
"WILSON Blade Team V7 Adult Performance Tennis Racket - Grip Size 3-4 3/8"", Green",Wilson,$89.41,4.7 out of 5 stars,,https://amazon.ca/Wilson-Blade-Team-Tennis-Racquet/dp/B084RT7BLN/ref=sr_1_18?crid=13LKS7TIUJ9MY&keywords=tennis+racket&qid=1687978156&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sprefix=%2Caps%2C820&sr=1-18
"Triumph Tennis Racket 4 1/8""",Other Brand,$49.95,,In Stock,https://amazon.ca/Wilson-Sporting-Goods-WRT30090U1-Triumph/dp/B07P7WYBM4/ref=sr_1_19?crid=13LKS7TIUJ9MY&keywords=tennis+racket&qid=1687978156&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sprefix=%2Caps%2C820&sr=1-19
Head Metallix Attitude Elite Blue Tennis Racket - Pre-Strung Adult Tennis Racquet Lightweight - Midplus Headsize for Blend of Power and Control,Head,$76.15,4.7 out of 5 stars,In Stock,https://amazon.ca/HEAD-Metallix-Attitude-Tennis-Racket/dp/B08X6611JJ/ref=sr_1_20?crid=13LKS7TIUJ9MY&keywords=tennis+racket&qid=1687978156&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sprefix=%2Caps%2C820&sr=1-20
"HEAD Ti. Conquest Tennis Racket - Pre-Strung Head Light Balance 27 Inch Racquet - 4 3/8 in Grip, Dark Blue",Head,$43.72,4.5 out of 5 stars,In Stock,https://amazon.ca/HEAD-Ti-Conquest-Tennis-Racquet/dp/B08D6Y4MWX/ref=sr_1_21?crid=13LKS7TIUJ9MY&keywords=tennis+racket&qid=1687978156&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sprefix=%2Caps%2C820&sr=1-21
Wilson Roland Garros Triumph Tennis Racquet (Strung),Wilson,,4.3 out of 5 stars,,https://amazon.ca/Wilson-Roland-Garros-Triumph-WR066510U4/dp/B08SWRVHBP/ref=sr_1_22?crid=13LKS7TIUJ9MY&keywords=tennis+racket&qid=1687978156&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sprefix=%2Caps%2C820&sr=1-22
Wilson Pro Staff RF 97 v13 Tennis Racquet,Wilson,,4.4 out of 5 stars,,https://amazon.ca/Wilson-Staff-V13-0-Tennis-Racquet/dp/B08GYVL1QQ/ref=sr_1_23?crid=13LKS7TIUJ9MY&keywords=tennis+racket&qid=1687978156&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sprefix=%2Caps%2C820&sr=1-23
WILSON Adult Performance Tennis Racket,Wilson,,4.5 out of 5 stars,,https://amazon.ca/Wilson-Sporting-Goods-Staff-Team/dp/B08SMN19C4/ref=sr_1_24?crid=13LKS7TIUJ9MY&keywords=tennis+racket&qid=1687978156&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sprefix=%2Caps%2C820&sr=1-24
